"Institution","Course Number","Short Title1","Curricular Area2","Course Launch Date","Year (1-4)","Offers Honor Certificates","Participants","Explorers","Certified","% Explored","% Certified","% Certified of Explored","Total Hours (Thousands)","Median Hours of Certified","Median % Residential Hours","% Female","% Bachelor's+","Median Age3","% Played Video","% Posted in Forum","% Grade > 0"
"HarvardX","GOV1368.1x","EdPol-a2","HHRDE","10/1/2015","4","1","3,126","581","246","18.59","7.87","42.34","8.08","10.69","25.44","59.86","72.04","29","61.10","10.04","7.87"
"HarvardX","GOV1368.2x","EdPol-b2","HHRDE","10/1/2015","4","1","702","348","180","49.57","25.64","51.72","1.85","4.65","11.07","51.02","80.42","31","55.98","11.54","25.64"
"HarvardX","GOV1368.3x","EdPol-c2","HHRDE","10/1/2015","4","1","492","246","127","50.00","25.81","51.22","1.18","3.67","8.74","50.91","78.86","30","54.07","8.54","25.81"
"HarvardX","GOV1368.4x","EdPol-d2","HHRDE","10/1/2015","4","1","511","212","113","41.49","22.11","53.30","1.08","4.44","10.58","51.52","74.39","31","49.71","5.68","22.11"
"HarvardX","ER22x","Justice-3","HHRDE","10/1/2015","4","1","30,699","3,607","1,726","11.75","5.62","45.77","109.74","16.72","9.95","42.44","66.50","26","66.93","10.50","20.25"
"HarvardX","MUS24x","MusicNights-a","HHRDE","11/16/2015","4","1","3,806","1,790","478","47.03","12.56","26.70","12.87","8.41","20.03","47.13","71.11","36","78.09","14.61","12.56"
"HarvardX","MUS24x","MusicNights-b","HHRDE","1/21/2016","4","1","4,237","2,302","587","54.33","13.85","25.50","19.23","11.85","28.22","40.05","68.39","31","79.75","5.15","25.96"
"HarvardX","PH231x","ReadHealth","GHSS","1/25/2016","4","1","5,309","1,094","419","20.61","7.89","38.30","29.90","37.04","88.19","55.19","83.58","31","64.23","6.33","28.12"
"HarvardX","PH525.1x","Genomics-a3","GHSS","10/15/2015","4","1","18,540","6,950","793","37.49","4.28","11.41","64.81","23.29","110.88","34.06","84.70","28","60.50","3.07","4.28"
"HarvardX","PH525.2x","Genomics-b3","GHSS","11/15/2015","4","1","3,654","1,850","444","50.63","12.15","24.00","10.60","11.25","53.55","25.34","84.27","29","54.71","1.70","12.15"
"HarvardX","PH525.3x","Genomics-c3","GHSS","12/15/2015","4","1","2,379","1,192","277","50.11","11.64","23.24","8.89","16.68","79.43","29.72","85.62","29","47.88","3.15","11.64"
"HarvardX","PH525.4x","Genomics-d3","GHSS","1/15/2016","4","1","2,321","1,080","193","46.53","8.32","17.87","8.21","16.76","79.83","27.43","87.18","29","47.78","2.24","8.32"
"HarvardX","PH525.5x","Genomics-e3","GHSS","2/15/2016","4","1","1,409","645","120","45.78","8.52","18.60","5.99","21.84","103.98","31.64","89.00","29","48.12","3.34","8.52"
"HarvardX","PH556x","HealthCare","GHSS","1/20/2016","4","1","6,792","2,767","903","40.74","13.30","32.63","19.79","9.39","11.18","62.76","91.03","40","57.14","35.28","44.38"
"HarvardX","PH557x","Pandemic","GHSS","12/3/2015","4","1","3,072","1,479","616","48.14","20.05","41.65","14.21","12.82","22.89","54.51","70.64","27","70.54","14.71","39.62"
"HarvardX","SPU30x","AstroPhys-2","STEM","10/13/2015","4","1","29,176","11,250","4,918","38.56","16.86","43.72","109.00","13.47","16.04","39.91","44.95","26","51.96","26.62","52.35"
"HarvardX","SW12.10x","ChinaX-j2","HHRDE","11/2/2015","4","1","948","246","65","25.95","6.86","26.42","4.94","20.87","37.26","33.55","73.56","27","74.26","8.44","6.86"
"HarvardX","SW12.1x","ChinaX-a2","HHRDE","10/27/2015","4","1","6,519","888","254","13.62","3.90","28.04","25.68","20.82","49.57","39.25","71.15","28","78.74","12.59","3.91"
"HarvardX","SW12.2x","ChinaX-b2","HHRDE","10/27/2015","4","1","849","275","112","32.39","13.19","36.73","6.84","20.91","74.68","35.71","75.56","30","76.44","20.26","13.19"
"HarvardX","SW12.3x","ChinaX-c2","HHRDE","10/27/2015","4","1","729","202","92","27.71","12.62","39.60","3.44","12.50","44.66","45.61","73.78","28","79.15","14.95","12.62"
"HarvardX","SW12.4x","ChinaX-d2","HHRDE","10/27/2015","4","1","427","195","58","45.67","13.58","29.23","3.11","18.05","64.46","33.62","73.96","31","66.51","17.80","13.58"
"HarvardX","SW12.5x","ChinaX-e2","HHRDE","10/27/2015","4","1","461","197","66","42.73","14.32","33.50","2.27","15.90","56.79","33.33","77.47","31","67.03","11.71","14.32"
"HarvardX","SW12.6x","ChinaX-f2","HHRDE","11/2/2015","4","1","1,381","257","145","18.61","10.50","46.30","3.66","8.38","29.94","39.20","68.16","26","72.56","9.12","10.57"
"HarvardX","SW12.7x","ChinaX-g2","HHRDE","11/2/2015","4","1","385","199","67","51.69","17.40","33.67","2.03","12.05","28.70","39.16","79.67","31","72.73","18.70","17.40"
"HarvardX","SW12.8x","ChinaX-h2","HHRDE","11/2/2015","4","1","422","195","56","46.21","13.27","28.72","2.02","12.21","43.61","37.91","79.69","30","73.22","14.22","13.27"
"HarvardX","SW12.9x","ChinaX-i2","HHRDE","11/2/2015","4","1","515","192","60","37.28","11.65","31.25","1.95","10.30","36.80","31.33","74.94","27","74.17","11.07","11.65"
"HarvardX","SW25x","BiosocHealth-2","GHSS","2/23/2016","4","1","4,050","691","472","17.06","11.65","68.31","28.87","37.03","22.04","59.10","76.79","27","58.47","15.36","33.06"
